,Ticker,freeCashFlow_RA,freeCashFlow_A,netChangeInCash_A,preferredStock_M,revenue,revenue_A,grossProfit_A,ebitda,eps,netIncome,dividendsPaid_A,Score
118,PAR,-0.011061999999999999,-0.011263749999999998,0.0020237500000000017,0.0,0.09765,0.07103808333333335,0.01589491666666667,-0.008141166666666666,-0.6183333333333333,-0.01514,0.0,-0.5512305
119,ON,0.3936,0.2720916666666667,0.16990000000000002,0.0,2.1036,1.6934166666666666,0.7089416666666667,0.4882083333333333,0.6105488333333332,0.26261666666666666,0.0,3.975636333333333
120,JBHT,0.059021500000000005,0.07472791666666669,0.0014105833333333338,0.0,3.649622,3.0515729166666663,0.4826855833333333,0.40168075,1.7790179166666664,0.18634933333333328,-0.033783333333333325,5.815456916666665
121,VAC,0.09849999999999999,0.09066666666666666,0.07241666666666667,0.0,1.188,0.9604166666666667,0.5495833333333333,0.10166666666666667,0.45749999999999985,0.009250000000000001,-0.011416666666666667,2.0066666666666664
122,GTLS,0.0016500000000000022,0.005616666666666668,0.2071083333333333,0.0,0.4414,0.34559999999999996,0.09015833333333333,0.06194166666666668,0.9483333333333333,0.03295,0.0,2.7084041666666665
123,SMAR,-0.0023450000000000003,-0.004780666666666667,-0.0266275,0.0,0.199577,0.13078683333333332,0.10260049999999998,-0.03585158333333333,-0.3233333333333333,-0.04059525,0.0,-0.16155225
124,HLT,0.4105,0.19066666666666668,0.05466666666666666,0.0,2.444,1.5723333333333336,0.3560833333333333,0.2645,0.2850000000000001,0.07933333333333333,-0.01375,3.1082083333333337
125,SMCI,0.04474700000000001,-0.006794249999999995,-0.001580416666666665,0.0,1.803195,1.1731150000000001,0.18969775000000003,0.08437050000000001,1.265,0.065989,0.0,3.010292375
126,DASH,0.005250000000000001,0.04741666666666666,0.15841666666666665,2.646,1.818,1.1964166666666667,0.5885833333333333,-0.13450000000000004,-0.6824777112536567,-0.19141666666666668,0.0,0.920272288746343
127,ZS,0.069237,0.04612725,0.09837316666666664,0.0,0.387598,0.22863358333333336,0.17756383333333337,-0.048605583333333334,-0.5091666666666667,-0.07056733333333333,0.0,-0.005604041666666643
128,BURL,0.03632049999999999,0.04760808333333335,0.039129083333333335,0.0,2.744283,1.98240325,0.8021620000000002,0.11557766666666665,0.5286567500000001,0.03520525,0.0,3.666999041666667
129,HELE,0.003174000000000003,0.028909500000000005,0.028508166666666664,0.0,0.558606,0.5293835833333334,0.23019975,0.06903683333333334,1.976724,0.04847066666666666,0.0,2.710873
130,U,-0.029142249999999998,-0.024245749999999996,0.09191633333333332,0.686559,0.450974,0.27283291666666665,0.20045983333333336,-0.1134275833333333,-0.5389170833333333,-0.14453358333333333,0.0,-0.2193535416666666
131,WSO,0.13454375000000002,0.11501833333333333,0.006087583333333333,0.0,1.581223,1.5507886666666664,0.41005458333333333,0.13997274999999998,2.573903333333333,0.12048441666666666,-0.07439016666666666,4.6280914583333335
132,SYNA,0.0941,0.077975,0.03283333333333333,0.0,0.3531,0.37385,0.18785833333333335,0.09913333333333335,1.1533333333333333,0.04322499999999999,0.0,1.7794708333333333
133,BIDU,6.5425,5.8743333333333325,2.566416666666666,0.0,33.077,29.603499999999993,14.319583333333336,4.960250000000001,9.744316416666667,0.0,0.0,59.16660808333334
134,MKTX,0.06262525,0.07006975,0.024867583333333332,0.0,0.177902,0.17553133333333334,0.1318625,0.10162433333333332,1.7966666666666669,0.06729075,-0.024691666666666667,2.2554811666666668
135,AI,-0.06826900000000001,-0.03690733333333334,0.02273875,0.0,0.066669,0.05599825,0.0410675,-0.03793216666666667,-0.39640691666666666,-0.04616241666666666,0.0,-0.40419320833333333
136,RACE,0.14968025,0.10612658333333332,0.04091291666666666,0.0,1.367967,1.0688281666666664,0.5341706666666667,0.37071524999999994,1.074558976725278,0.20757316666666667,-0.0035395833333333334,3.0934803933919444
137,CVV,-0.0011963495,-0.001000293,0.00047506225,0.0,0.017694373,0.005803695583333333,0.001188242666666667,-4.248941666666665e-05,-0.04213466666666666,-0.0003655458333333334,0.0,-0.029785810458333332
138,MORF,-0.0253355,-0.019363083333333333,-0.0035001666666666692,0.0,0.006135,0.0112955,0.005815999999999999,-0.01594375,-0.47640732431537863,-0.016631833333333335,0.0,-0.5189078243153786
139,DECK,0.08927625,0.09549808333333333,0.03674825,0.0,1.34564,0.7422170833333336,0.38365341666666675,0.14686425,3.890833333333333,0.07066416666666668,0.0,5.682021083333333
140,ADI,1.06524025,0.7454683333333335,0.08467116666666667,0.0,3.24963,2.2401133333333334,1.4186802499999998,0.978594666666667,1.1416666666666668,0.5097786666666665,-0.3105285833333334,6.739658375
141,BFAM,0.0321155,0.03524041666666667,0.0017251666666666654,0.0,0.529522,0.4409072499999999,0.09985108333333335,0.05484025,0.2505016929439736,0.014841,0.0,0.8726211096106403
142,KWR,0.014865,0.020924916666666668,-0.0006910833333333312,0.0,0.484808,0.4268683333333334,0.14339475,0.037609833333333335,0.6766666666666667,0.012171166666666665,-0.007138166666666668,1.2777130416666667
143,FND,-0.0860375,-0.021396916666666668,-0.0014369166666666627,0.0,1.048069,0.8436495,0.34873950000000004,0.10968374999999998,0.6183333333333333,0.0647005,0.0,1.7632620833333332
144,IE,-0.031059999999999997,-0.022838714285714285,0.022950857142857137,0.0,0.000268,0.0017912857142857142,0.001176,0.018012285714285713,0.21545942857142858,-0.028292,0.0,0.18502635714285715
145,OCFT,-0.10739550000000002,-0.228388,0.04505091666666666,0.0,1.068865,0.9532615,0.3394915,-0.3251025,-0.09309996912669698,-0.318088,0.0,0.6605655308733029
146,SQ,0.0012719999999999954,0.08014991666666665,0.6114333333333333,0.0,4.650902,3.724197333333333,1.095427,-0.0045208333333333255,-0.014984833333333341,-0.014468,0.0,5.1177355
147,MU,-0.48600000000000004,0.18783333333333332,0.22633333333333341,0.0,3.693,6.477916666666665,2.3199166666666673,3.014583333333333,1.0283333333333335,1.153,-0.059416666666666666,9.924833333333334
148,HWM,0.135,0.044333333333333336,-0.07591666666666667,0.055,1.513,1.45575,0.38325000000000004,0.24616666666666667,0.19120546542760317,0.08233333333333333,-0.006166666666666667,2.41737213209427
149,PAYC,0.05810625,0.046558333333333334,0.06393675,0.0,0.370608,0.27268133333333333,0.2311669166666667,0.08727708333333332,0.8933333333333334,0.051733499999999995,0.0,1.7712727916666668
150,SWAV,2.315149999999953e-05,-0.006667866166666668,-0.011694724833333331,0.0,0.144026,0.06622233333333333,0.055603583333333324,0.0061524928333333345,0.34912826502718525,-0.0048967398333333335,0.0,0.42333701869385193
151,SGEN,-0.13277275,-0.02568908333333333,0.004077000000000007,0.0,0.52815,0.47602666666666665,0.3977481666666666,-0.037542083333333316,-0.2933333333333334,-0.05592575000000002,0.0,0.21487225
152,AMAT,1.3085,1.2561666666666667,-0.42016666666666663,0.0,6.739,6.441166666666667,3.013833333333333,2.0976666666666666,1.905,1.659,-0.21816666666666673,14.184666666666665
153,FWRD,0.05459025,0.030325916666666664,-0.0015772499999999999,0.0,0.4812,0.4118629166666667,0.09527175,0.048580416666666654,0.9900000000000001,0.026898583333333337,-0.005809166666666667,1.586826
154,RGLD,-0.16836075,-0.029996833333333334,0.0017682500000000014,0.0,0.16298,0.15374658333333333,0.08177291666666665,0.1241295,0.9966666666666667,0.06554383333333334,-0.02072875,1.1498591666666667
155,IRTC,-0.0132105,-0.012164333333333333,0.004864166666666667,0.0,0.112617,0.08324266666666667,0.05750733333333333,-0.01814816666666667,-0.7450000000000001,-0.02177883333333333,0.0,-0.6458701666666667
156,TSM,130.62461025,91.22215991666668,73.95115183333334,0.0,625.53,432.53806249999985,207.48642625,287.41200466666663,34.24435283333333,171.45071358333334,-67.52628266666667,1108.458212125
157,AEHR,0.0016392499999999999,0.0005766666666666664,0.0011310000000000003,0.0,0.014815,0.008566583333333334,0.0037489166666666665,0.0008809999999999998,0.02555025,0.0008071666666666666,0.0,0.032999249999999994
158,WIRE,0.13513325,0.06767324999999999,0.04163266666666667,0.0,0.693885,0.57393525,0.181225,0.14966416666666668,5.637499999999999,0.11127741666666667,-0.00040258333333333335,6.725307541666666
159,CHH,0.068369,0.05453366666666667,0.0006499999999999978,0.0,0.361982,0.27044324999999997,0.13423408333333334,0.09399574999999999,1.0483333333333336,0.058041333333333334,-0.008571916666666667,1.58854025
160,FLNG,0.05496925,-0.036139,0.01694191666666667,0.0,0.097929,0.07131908333333334,0.04172733333333333,0.05976325,0.5622475000000001,0.029862666666666666,-0.024653666666666667,0.8130842083333335
161,FIS,0.63725,0.7850833333333332,0.1335,0.0,3.714,3.413250000000001,1.2590000000000001,-0.24141666666666653,-2.2724999999999995,-1.3447499999999997,-0.24725000000000005,2.6024583333333347
162,AE,0.005844,0.0018425833333333326,-0.00297625,0.0,0.852901,0.5081800833333335,0.005536416666666666,0.007369916666666666,0.5091666666666667,0.002191,-0.0010348333333333331,1.2148558333333335
163,DOCU,0.10727625,0.09072791666666667,0.04014316666666667,0.0,0.659576,0.5063479166666666,0.3924648333333332,-0.008721333333333333,-0.17800000000000002,-0.034224750000000005,0.0,0.7441537916666665
164,UBER,0.0975,-0.3095,-0.4491666666666667,0.0,8.607,5.03925,2.19225,-1.1118333333333335,-0.7341666666666665,-1.374666666666667,0.0,5.19225
165,THC,0.08025,0.34149999999999997,0.04966666666666667,0.0,4.99,4.691583333333334,3.6163333333333334,0.6459166666666667,1.3466666666666667,0.1694166666666667,0.0,8.546791666666667
166,PCOR,-0.009205500000000002,-0.002069666666666667,0.01483233333333333,0.0,0.202053,0.13627625,0.10974366666666667,-0.04520558333333333,-0.4873430974117028,-0.05402191666666667,0.0,-0.30167272241170284
167,CHDN,0.11515,0.051,0.005183333333333355,0.0,0.4801,0.37175,0.10141666666666667,0.12521666666666667,1.3271666666666666,0.05053333333333334,-0.006183333333333333,1.2999166666666668
168,BG,-1.526,-1.1081666666666667,0.06916666666666667,0.69,16.66,13.982333333333331,0.8191666666666667,0.6694166666666667,2.7894617500000005,0.40608333333333335,-0.08233333333333331,17.74112841666667
169,OKTA,0.01625,0.021912833333333336,-0.021746083333333333,0.0,0.51,0.33278475,0.23615158333333333,-0.12360483333333334,-1.0775000000000001,-0.1608119166666667,0.0,-0.6393931666666668
170,NARI,-0.00598075,-0.0013025,0.0030162302499999994,0.0,0.107771,0.06667714033333333,0.05981300366666666,0.0010687144166666666,-0.017500000000000016,-0.00046987416666666697,0.0,0.08306553641666664
171,MIDD,0.07023425,0.09463908333333332,0.005625083333333332,0.0,1.031705,0.8164085000000001,0.2936218333333333,0.17088024999999998,1.7250000000000003,0.09436291666666667,0.0,3.045523666666667
172,LEA,0.0958,0.05658333333333332,-0.03274999999999998,0.0,5.3709,4.766675,0.32824166666666665,0.25656666666666667,1.1930869999999998,0.07842499999999998,-0.029958333333333326,6.914912
173,BSY,0.0639445,0.064013,-0.004118083333333336,0.0,0.286948,0.23848116666666666,0.1867555833333333,0.05350783333333333,0.11051283333333332,0.032639166666666664,-0.04087791666666667,0.5834715416666666
174,CHRD,0.34817475000000003,0.17062233333333332,0.11116133333333332,0.0,1.015603,0.5258379166666667,0.26587408333333334,-0.0568145833333333,-8.8737625,-0.12973374999999995,-0.051000916666666646,-7.678744833333333
175,DOCN,0.01873375,0.003450166666666666,0.009660083333333328,0.0,0.162998,0.11027191666666665,0.06626741666666665,0.017221916666666667,-0.07916952967787598,-0.0072795,0.0,0.18488330365545735
176,FANG,0.705,0.37825000000000003,0.002999999999999998,0.0,2.03,1.6044166666666666,1.022,0.44473575,0.5776131963606603,0.16151858333333333,-0.17666666666666672,4.120557279693994
177,ASC,0.03009975,0.011672496999999999,-9.618433333333333e-05,0.037043138,0.132831,0.07152357558333332,0.02869856375,0.01988476758333333,0.18083333333333332,0.007964596833333334,-0.00047800741666666663,0.34731792058333333
178,MRVL,0.268375,0.20029400000000006,0.021952416666666665,0.0,1.4185,1.1125735833333332,0.54500625,0.24481508333333335,-0.09716666666666668,-0.07181933333333333,-0.046335249999999994,2.0478633333333334
179,OC,0.3285,0.2690833333333333,0.07733333333333332,0.0,2.285,2.1095,0.5369166666666667,0.3805833333333333,1.5733333333333333,0.1544166666666667,-0.02900000000000001,4.922625
180,PLTR,0.045927499999999996,0.016340833333333332,0.10211441666666667,0.0,0.508624,0.3783694166666666,0.28666108333333334,-0.16316933333333336,-0.13371883333333334,-0.17148866666666665,0.0,0.42315958333333326
181,RNG,0.0262155,-0.022567750000000008,-0.006135166666666668,0.199449,0.524746,0.39722841666666664,0.2794195,-0.06365849999999999,-1.189690379669288,-0.11153433333333333,0.0,-0.6441359213359545
182,WH,0.11425,0.07333333333333335,-0.003916666666666661,0.0,0.334,0.35725,0.21275000000000008,0.10475,0.45666666666666655,0.04733333333333334,-0.023333333333333334,1.0081666666666664
